trip_id,stop_id,arrival_time,departure_time,timepoint,stop_sequence,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
18,created_stop_5,07:38:35,07:38:35,,4,,,,,
19,created_stop_1,07:35:00,07:35:00,,0,,,,,
19,created_stop_2,07:37:26,07:37:26,,1,,,,,
19,created_stop_3,07:40:08,07:40:08,,2,,,,,
19,created_stop_4,07:41:48,07:41:48,,3,,,,,
19,created_stop_5,07:43:35,07:43:35,,4,,,,,
20,created_stop_1,07:40:00,07:40:00,,0,,,,,
20,created_stop_2,07:42:26,07:42:26,,1,,,,,
20,created_stop_3,07:45:08,07:45:08,,2,,,,,
20,created_stop_4,07:46:48,07:46:48,,3,,,,,
20,created_stop_5,07:48:35,07:48:35,,4,,,,,
21,created_stop_1,07:45:00,07:45:00,,0,,,,,
21,created_stop_2,07:47:26,07:47:26,,1,,,,,
21,created_stop_3,07:50:08,07:50:08,,2,,,,,
21,created_stop_4,07:51:48,07:51:48,,3,,,,,
21,created_stop_5,07:53:35,07:53:35,,4,,,,,
22,created_stop_1,07:50:00,07:50:00,,0,,,,,
22,created_stop_2,07:52:26,07:52:26,,1,,,,,
22,created_stop_3,07:55:08,07:55:08,,2,,,,,
22,created_stop_4,07:56:48,07:56:48,,3,,,,,
22,created_stop_5,07:58:35,07:58:35,,4,,,,,
23,created_stop_1,07:55:00,07:55:00,,0,,,,,
23,created_stop_2,07:57:26,07:57:26,,1,,,,,
23,created_stop_3,08:00:08,08:00:08,,2,,,,,
23,created_stop_4,08:01:48,08:01:48,,3,,,,,
23,created_stop_5,08:03:35,08:03:35,,4,,,,,
24,created_stop_1,08:00:00,08:00:00,,0,,,,,
24,created_stop_2,08:02:26,08:02:26,,1,,,,,
24,created_stop_3,08:05:08,08:05:08,,2,,,,,
24,created_stop_4,08:06:48,08:06:48,,3,,,,,
24,created_stop_5,08:08:35,08:08:35,,4,,,,,
25,created_stop_1,08:05:00,08:05:00,,0,,,,,
25,created_stop_2,08:07:26,08:07:26,,1,,,,,
25,created_stop_3,08:10:08,08:10:08,,2,,,,,
25,created_stop_4,08:11:48,08:11:48,,3,,,,,
25,created_stop_5,08:13:35,08:13:35,,4,,,,,
26,created_stop_1,08:10:00,08:10:00,,0,,,,,
26,created_stop_2,08:12:26,08:12:26,,1,,,,,
26,created_stop_3,08:15:08,08:15:08,,2,,,,,
26,created_stop_4,08:16:48,08:16:48,,3,,,,,
26,created_stop_5,08:18:35,08:18:35,,4,,,,,
27,created_stop_1,08:15:00,08:15:00,,0,,,,,
27,created_stop_2,08:17:26,08:17:26,,1,,,,,
27,created_stop_3,08:20:08,08:20:08,,2,,,,,
27,created_stop_4,08:21:48,08:21:48,,3,,,,,
27,created_stop_5,08:23:35,08:23:35,,4,,,,,
28,created_stop_1,08:20:00,08:20:00,,0,,,,,
28,created_stop_2,08:22:26,08:22:26,,1,,,,,
28,created_stop_3,08:25:08,08:25:08,,2,,,,,
28,created_stop_4,08:26:48,08:26:48,,3,,,,,
28,created_stop_5,08:28:35,08:28:35,,4,,,,,
29,created_stop_1,08:25:00,08:25:00,,0,,,,,
29,created_stop_2,08:27:26,08:27:26,,1,,,,,
29,created_stop_3,08:30:08,08:30:08,,2,,,,,
29,created_stop_4,08:31:48,08:31:48,,3,,,,,
29,created_stop_5,08:33:35,08:33:35,,4,,,,,
30,created_stop_1,08:30:00,08:30:00,,0,,,,,
30,created_stop_2,08:32:26,08:32:26,,1,,,,,
30,created_stop_3,08:35:08,08:35:08,,2,,,,,
30,created_stop_4,08:36:48,08:36:48,,3,,,,,
30,created_stop_5,08:38:35,08:38:35,,4,,,,,
31,created_stop_1,08:35:00,08:35:00,,0,,,,,
31,created_stop_2,08:37:26,08:37:26,,1,,,,,
31,created_stop_3,08:40:08,08:40:08,,2,,,,,
31,created_stop_4,08:41:48,08:41:48,,3,,,,,
31,created_stop_5,08:43:35,08:43:35,,4,,,,,
32,created_stop_1,08:40:00,08:40:00,,0,,,,,
32,created_stop_2,08:42:26,08:42:26,,1,,,,,
32,created_stop_3,08:45:08,08:45:08,,2,,,,,
32,created_stop_4,08:46:48,08:46:48,,3,,,,,
32,created_stop_5,08:48:35,08:48:35,,4,,,,,
33,created_stop_1,08:45:00,08:45:00,,0,,,,,
33,created_stop_2,08:47:26,08:47:26,,1,,,,,
33,created_stop_3,08:50:08,08:50:08,,2,,,,,
33,created_stop_4,08:51:48,08:51:48,,3,,,,,
33,created_stop_5,08:53:35,08:53:35,,4,,,,,
34,created_stop_1,08:50:00,08:50:00,,0,,,,,
34,created_stop_2,08:52:26,08:52:26,,1,,,,,
34,created_stop_3,08:55:08,08:55:08,,2,,,,,
34,created_stop_4,08:56:48,08:56:48,,3,,,,,
34,created_stop_5,08:58:35,08:58:35,,4,,,,,
35,created_stop_1,08:55:00,08:55:00,,0,,,,,
35,created_stop_2,08:57:26,08:57:26,,1,,,,,
35,created_stop_3,09:00:08,09:00:08,,2,,,,,
