shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
nzl:north,1,52.401829749069,4.93232220411301,0
nzl:north,2,52.4015793686026,4.93200302124023,35
nzl:north,3,52.4013306232028,4.93166506290436,36
nzl:north,4,52.4007971250505,4.9309891462326,75
nzl:north,5,52.4003421736773,4.93037223815918,66
nzl:north,6,52.3999166753421,4.92978483438492,62
nzl:north,7,52.3995075384578,4.929259121418,58
nzl:north,8,52.3991114903404,4.92873072624206,57
nzl:north,9,52.3985239578659,4.92795825004578,84
nzl:north,10,52.3982506462215,4.92760956287384,39
nzl:north,11,52.3979838793313,4.92727428674698,37
nzl:north,12,52.3977302037986,4.9269711971283,35
nzl:north,13,52.3974748901772,4.92668151855469,35
nzl:north,14,52.3970313610792,4.92619067430496,60
nzl:north,15,52.3967842266958,4.92593854665756,32
nzl:north,16,52.396535454263,4.92568105459213,33
nzl:north,17,52.3957138406063,4.92491394281387,105
nzl:north,18,52.3950182393977,4.92435067892075,86
nzl:north,19,52.3944502933393,4.92392152547836,70
nzl:north,20,52.3938446943895,4.92351651191711,73
nzl:north,21,52.3930541297422,4.92298811674118,95
nzl:north,22,52.3922651877575,4.92249727249146,94
nzl:north,23,52.3917986905302,4.9221807718277,56
nzl:north,24,52.3913420095211,4.92184281349182,56
nzl:north,25,52.3910015417516,4.92155313491821,43
nzl:north,26,52.3907183622312,4.92127954959869,37
nzl:north,27,52.3904286333272,4.92098182439804,38
nzl:north,28,52.3897444072366,4.92014765739441,95
nzl:north,29,52.3893253544416,4.91956025362015,61
nzl:north,30,52.3888899281823,4.91883873939514,69
nzl:north,31,52.3884021147153,4.91791069507599,83
nzl:north,32,52.387986323142,4.91707116365433,74
nzl:north,33,52.3875623426624,4.9162021279335,76
nzl:north,34,52.3850331080978,4.91133391857147,435
nzl:north,35,52.38319625275,4.90731596946716,341
nzl:north,36,52.3818799564601,4.9046391248703,234
nzl:north,37,52.3814542801084,4.90374326705933,77
nzl:north,38,52.3812250680653,4.90324974060059,42
nzl:north,39,52.3809565610158,4.9028205871582,42
nzl:north,40,52.3803049334596,4.90204811096191,90
nzl:north,41,52.3795616078726,4.90132927894592,96
nzl:north,42,52.3778096676723,4.8997950553894,221
nzl:north,43,52.3772365880342,4.89907622337341,80
nzl:north,44,52.3768141417106,4.89852368831635,60
nzl:north,45,52.3764539129712,4.89795506000519,56
nzl:north,46,52.3759921609261,4.8971289396286,76
nzl:north,47,52.3756057264255,4.8963725566864,67
nzl:north,48,52.3745512015172,4.8949670791626,151
nzl:north,49,52.3734049502314,4.89356160163879,159
nzl:north,50,52.3730119429421,4.89330947399139,47
nzl:north,51,52.3724420761608,4.8932021856308,64
nzl:north,52,52.3719278797088,4.89316999912262,57
nzl:north,53,52.3714660803409,4.89305734634399,52
nzl:north,54,52.3706374495123,4.89283740520477,93
nzl:north,55,52.3695959072915,4.89252626895905,118
nzl:north,56,52.3690587501322,4.89246189594269,60
nzl:north,57,52.368790169103,4.89257454872131,31
nzl:north,58,52.3685117602148,4.89274084568024,33
nzl:north,59,52.3679385599199,4.89332556724548,75
nzl:north,60,52.3676110135549,4.8935079574585,39
nzl:north,61,52.3671819241419,4.89358305931091,48
nzl:north,62,52.3666512887222,4.8933470249176,61
nzl:north,63,52.3661501271955,4.89319682121277,57
nzl:north,64,52.3656162037585,4.89304661750793,60
nzl:north,65,52.364328864888,4.89259600639343,146
nzl:north,66,52.3622585618794,4.89173233509064,238
nzl:north,67,52.36110543966,4.89129781723022,132
nzl:north,68,52.3597065833907,4.89086329936981,158
nzl:north,69,52.3580062745762,4.89090621471405,189
nzl:north,70,52.3567514767911,4.89067554473877,141
nzl:north,71,52.3556604617712,4.89054143428802,122
nzl:north,72,52.3551002003482,4.8903751373291,63
nzl:north,73,52.3549134449623,4.8903751373291,21
nzl:north,74,52.354579249144,4.89049315452576,38
nzl:north,75,52.3534586917823,4.8909330368042,128
nzl:north,76,52.3521742753006,4.89142119884491,147
nzl:north,77,52.3519678477418,4.89142656326294,23
nzl:north,78,52.3513288991876,4.89143192768097,71
nzl:north,79,52.3509619091754,4.89155530929565,42
nzl:north,80,52.3503589903977,4.89156603813171,67
nzl:north,81,52.3497626169947,4.89152848720551,66
nzl:north,82,52.3480324332401,4.89126563072205,193
nzl:north,83,52.3463480605198,4.89105641841888,188
nzl:north,84,52.3445980800334,4.89084720611572,195
nzl:north,85,52.3439917972297,4.89089012145996,68
nzl:north,86,52.343378951568,4.89099740982056,69
nzl:north,87,52.3421761762962,4.89129781723022,135
nzl:north,88,52.3410290849294,4.89152312278748,129
nzl:north,89,52.3401113904098,4.89168405532837,103
nzl:north,90,52.339468992914,4.89156603813171,72
nzl:north,91,52.3391871216792,4.89140510559082,33
nzl:north,92,52.3386823710253,4.89070236682892,74
nzl:north,93,52.3384660475528,4.8900693655014,49
nzl:north,94,52.3383578854198,4.88948464393616,42
nzl:north,95,52.3383087207263,4.88893747329712,38
nzl:north,96,52.338338219549,4.88831520080566,43
nzl:north,97,52.3386627052988,4.88688826560974,104
nzl:north,98,52.3391084596186,4.88492488861084,143
nzl:north,99,52.3392985593589,4.88375544548035,82
nzl:north,100,52.3393772210813,4.88277912139893,67
nzl:north,101,52.3394034416244,4.88163113594055,78
nzl:north,102,52.3394001640574,4.88088011741638,51
nzl:north,103,52.3393575556638,4.87887382507324,137
nzl:north,104,52.3393051145078,4.87688899040222,135
nzl:north,105,52.339213342335,4.87477540969849,144
nzl:north,106,52.3391445130805,4.87331628799438,100



